date,team,player_name,player_code,price_per_player,n_player_come,balance_prev,bill,payment,balance
20230424,IoT,O,OIoT,28.0,1,0.0,28,28,0.0
20230505,IoT,O,OIoT,46.0,1,0.0,46,200,154.0
20230508,IoT,O,OIoT,33.0,1,154.0,33,0,121.0
20230515,IoT,O,OIoT,35.0,1,121.0,35,0,86.0
20230522,IoT,O,OIoT,23.0,1,86.0,23,0,63.0
20230529,IoT,O,OIoT,24.0,1,63.0,24,0,39.0
20230602,IoT,O,OIoT,52.0,1,39.0,52,300,287.0
20230609,IoT,O,OIoT,31.0,1,287.0,31,0,256.0
20230612,IoT,O,OIoT,39.0,1,256.0,39,0,217.0
20230619,IoT,O,OIoT,39.0,1,217.0,39,0,178.0
20230626,IoT,O,OIoT,34.0,1,178.0,34,0,144.0
20230703,IoT,O,OIoT,33.0,1,144.0,33,0,111.0
20230710,IoT,O,OIoT,30.0,1,111.0,30,0,81.0
20230717,IoT,O,OIoT,42.0,1,81.0,42,0,39.0
20230724,IoT,O,OIoT,37.0,1,39.0,37,0,2.0
20230727,IoT,O,OIoT,54.0,1,2.0,54,710,658.0
20230728,IoT,O,OIoT,25.0,1,658.0,25,-105,528.0
20230731,IoT,O,OIoT,39.0,1,528.0,39,0,489.0
20230804,IoT,O,OIoT,32.0,1,489.0,32,0,457.0
20230807,IoT,O,OIoT,35.0,1,457.0,35,0,422.0
20230821,IoT,O,OIoT,33.0,1,422.0,33,0,389.0
20230825,IoT,O,OIoT,36.0,1,389.0,36,0,353.0
20230828,IoT,O,OIoT,50.0,1,353.0,50,0,303.0
20230905,IoT,O,OIoT,40.0,1,303.0,40,0,263.0
